Gene,log2FoldChange,pvalue,padj
Qtrt1,0.565061489,3.74E-08,1.71E-07
Nop58,0.564850571,4.47E-33,7.01E-32
Adcy6,0.56481972,1.12E-46,2.64E-45
Map3k15,0.564802299,0.00065923,0.00183258
Sp8,0.564592687,0.130453947,0.214754473
Gm52047,0.564407167,0.193374181,0.296942614
Acrbp,0.564384413,0.040226461,0.078325894
Mboat1,0.564128588,0.001392044,0.003670003
Plekha8,0.564015071,7.68E-10,4.02E-09
Gm35326,0.563854959,0.131091075,0.21567427
Rab37,0.563809705,0.138241894,0.225169201
Calcr,0.563676244,0.093907741,0.162307003
Lpcat4,0.563355684,4.37E-11,2.52E-10
2410021H03Rik,0.563275232,0.134456576,0.220364155
Gtf3c5,0.562983748,6.12E-14,4.25E-13
Susd1,0.562961164,0.03562751,0.070490057
Card10,0.562840004,4.33E-05,0.000142794
Atp13a3,0.562706105,2.88E-31,4.25E-30
Efhd2,0.562635155,2.54E-18,2.23E-17
Mdn1,0.562580959,3.09E-14,2.18E-13
Olfr1317,0.562568245,0.127443049,0.210535742
Msh5,0.562303724,0.057297699,0.106772752
Brix1,0.562259345,2.06E-23,2.28E-22
Pwwp3a,0.561886271,1.26E-14,9.11E-14
Kif21b,0.561807268,4.19E-16,3.28E-15
Lonp1,0.56177555,3.39E-41,6.78E-40
Ankrd6,0.561549374,0.003848942,0.009373644
Litaf,0.561504519,1.97E-23,2.18E-22
Ccdc189,0.561130275,0.002853315,0.007106167
Gm39687,0.561059639,0.176689687,0.275714364
Zc3h18,0.561059194,5.64E-28,7.44E-27
Evx1,0.560911246,0.13576764,0.222059361
Nup214,0.560896368,7.40E-20,6.98E-19
Trim15,0.56075754,0.190572204,0.293529283
Gm45998,0.560728342,0.160066976,0.254581708
Rnf31,0.560351824,5.15E-12,3.18E-11
Cdca3,0.56012342,9.52E-11,5.36E-10
Gm39443,0.56004415,0.200771923,0.306003994
Cfap74,0.559971085,0.004901878,0.011709863
Gm12866,0.559744231,0.095420453,0.164462369
Gm26387,0.559723035,0.15521815,0.24832583
Lpl,0.559466079,5.14E-23,5.59E-22
Nol10,0.559171031,7.97E-15,5.81E-14
LOC118568520,0.559157923,0.208647498,0.316106212
Myot,0.55872412,0.207905838,0.315106519
Gm4890,0.558708799,0.106806249,0.181072319
Hrh2,0.558647101,0.129514922,0.213539301
Snap91,0.558462888,0.052787858,0.099465938
Pop4,0.55834157,3.70E-09,1.84E-08
Gm33214,0.557879872,0.154312633,0.247144033
Pno1,0.557620027,5.05E-20,4.80E-19
Lefty2,0.557575486,0.097070003,
P2ry10b,0.557558285,8.61E-08,3.80E-07
Zpbp,0.557360153,0.067473581,0.122638138
Ube2s,0.557126693,3.69E-05,0.00012314
Elovl3,0.55666968,0.137494127,0.2242357
Tmem199,0.556438718,1.68E-07,7.23E-07
Gpn2,0.556408383,8.11E-07,3.25E-06
Gm5577,0.556134798,0.130937603,0.215476996
Apaf1,0.556062718,2.25E-21,2.27E-20
Gabrb1,0.555751216,0.009153323,0.020727083
Gm33148,0.55573507,0.096984337,0.166888969
Vash1,0.555581862,0.010656089,0.023871772
Sbk2,0.555524437,0.212611951,0.320674568
Gm17399,0.555466502,0.160109032,0.254627568
Ints6,0.555353089,9.02E-14,6.19E-13
Gm45986,0.555335653,0.207814332,0.315004848
Nat14,0.555234382,0.002664517,0.006673073
Adgb,0.555086585,0.20118977,0.306519561
Ehbp1l1,0.555078706,2.64E-33,4.18E-32
Cyp51,0.555069016,2.24E-40,4.40E-39
Slc44a5,0.554543622,0.210571082,0.318269382
Atp2a1,0.553719989,0.192296119,0.295801195
Tinag,0.553678553,0.156590207,0.250146882
B4galt5,0.553610675,2.25E-21,2.27E-20
Corin,0.553605588,0.203368598,0.309325211
Pmvk,0.553171525,1.13E-09,5.86E-09
Med22,0.552982903,5.95E-21,5.87E-20
Amdhd1,0.552837859,0.212353347,0.320334699
4930483K19Rik,0.552698961,0.159737762,0.25412106
Fli1,0.552515161,0.000301587,0.000884058
9230114K14Rik,0.552425538,4.19E-06,1.56E-05
4930557K07Rik,0.552093952,0.212191682,0.320191147
Gm40258,0.552015779,0.214519287,0.32302009
Exosc8,0.552006622,1.86E-09,9.47E-09
Tspan32,0.551971266,0.213060616,0.321225489
Rfc2,0.551814591,7.66E-13,4.99E-12
Ppan,0.55141713,1.02E-12,6.59E-12
Esyt3,0.551336428,0.21328035,0.321481276
Gm12992,0.550940453,0.207461169,0.31453158
Lca5,0.55071842,4.12E-07,1.70E-06
Trpm6,0.550430774,0.18261104,0.283278777
A4gnt,0.550186088,0.137559467,0.224281935
Gm40121,0.549660716,0.206628153,0.313466057
Tnfaip8,0.549348255,3.50E-11,2.03E-10
LOC118567527,0.549323055,0.157037486,0.250653484
Lrp12,0.549213542,5.24E-18,4.50E-17
1810010H24Rik,0.549213538,0.103551592,0.176580494
Atad3a,0.549027372,4.58E-13,3.04E-12
Maml3,0.548962672,0.003115246,0.00769877
Tubg1,0.548868193,7.78E-16,5.99E-15
Nphp3,0.548813665,2.48E-07,1.04E-06
Gm26744,0.54868372,0.218295141,0.327783107
Trim59,0.548577283,2.44E-17,2.04E-16
Rpn1,0.548363222,9.90E-58,2.93E-56
Lbx2,0.548210644,0.138674901,0.225776851
Slc6a15,0.548067262,0.083483306,0.146970274
Dzip1l,0.547934337,1.64E-19,1.52E-18
Gm34035,0.547528095,0.18456513,0.285665824
Tpp2,0.547446135,6.77E-31,9.83E-30
Gm19417,0.547240347,0.217657836,0.326979115
Tmem67,0.547209549,1.40E-07,6.07E-07
Snrpc,0.547192414,2.01E-07,8.56E-07
Ly6g2,0.547079505,0.217533646,0.32686904
Sebox,0.547064126,0.13932417,0.226606215
Ankmy1,0.546871915,0.212019781,0.319959672
Gypa,0.546747764,0.190575323,0.293529283
Gm35065,0.54668452,0.175545789,0.274240457
Slc39a8,0.546490253,0.002956812,0.007343035
Ugt1a6a,0.546334623,0.000515357,0.001458096
Gm32664,0.546256302,0.171724008,0.26968155
Hnrnpa1,0.546254003,4.86E-08,2.20E-07
Gpr61,0.546053783,0.187120979,0.289064165
Gm40124,0.545964793,0.138685298,0.225776851
Itprid1,0.54592071,0.21156377,0.319468923
Rasef,0.545396641,0.191225171,0.294388934
Smcr8,0.544804215,2.16E-19,1.99E-18
4933434E20Rik,0.544732097,3.37E-10,1.82E-09
Wdyhv1,0.544529546,0.000112042,0.000348878
H2bc6,0.544368037,0.078564599,0.139415425
E230001N04Rik,0.544341431,0.202703896,0.308460361
Usp25,0.543907825,1.03E-23,1.16E-22
Rangap1,0.543512672,3.05E-31,4.48E-30
Peg3,0.543464058,1.79E-20,1.73E-19
Nup50,0.542986433,4.93E-25,5.85E-24
Syn3,0.542035179,0.183552186,0.284440904
Sema3e,0.541938717,6.68E-07,2.70E-06
Sct,0.541487768,0.17401037,0.272438478
Pmp2,0.541344242,0.224079264,0.334953628
Gm34552,0.540853572,0.201872041,0.307388807
Gm52251,0.540812016,0.217644425,0.326979115
Lratd2,0.540751929,1.37E-06,5.38E-06
Mplkip,0.540498551,6.43E-05,0.000206667
Spink10,0.540347874,0.224540511,0.335512895
Plin2,0.540091689,1.83E-29,2.52E-28
Crocc2,0.539951599,0.033242558,0.066433373
Sphk2,0.539569825,7.41E-18,6.32E-17
Zbtb21,0.53952729,2.02E-10,1.11E-09
C1qtnf7,0.539505176,0.005184832,0.012326217
Bcl2l15,0.539498632,0.225032101,0.336090983
Lsm8,0.539352424,5.16E-09,2.54E-08
Gm40890,0.539245293,0.172466382,0.27059308
Hspd1,0.538954565,4.30E-30,6.04E-29
Ube4bos3,0.538908243,0.209913387,0.317474629
Cplx1,0.538762273,0.105273949,
Alkal2,0.538762273,0.105273949,
Gm32143,0.538762273,0.105273949,
Trp53rkb,0.538746494,0.063436694,0.116177947
Cpxm2,0.538565462,1.81E-05,6.28E-05
Pnpla6,0.538535351,2.16E-15,1.63E-14
Fmr1os,0.53821116,0.224797357,0.335766426
Fryl,0.538059509,8.18E-15,5.96E-14
Gm38563,0.538037815,0.186945868,0.28881682
Il1rapl2,0.537787447,0.139245096,0.226515863
Ica1l,0.537754539,0.016728415,0.035924682
C630004L07Rik,0.537748182,0.223868481,0.334742475
Tmed10-ps,0.537695414,0.141807543,0.230062461
Sclt1,0.537486871,7.46E-06,2.70E-05
Gm46825,0.537465672,0.214538579,0.323023883
Cckar,0.537339867,0.105868885,
Spaca1,0.537301067,0.205607404,0.312163421
Il20ra,0.5372499,0.091660485,0.1589921
Ddx41,0.537243419,2.53E-17,2.11E-16
Gm32234,0.537215733,0.177011134,0.276193586
Gm31623,0.537111561,0.227217431,0.338645759
Gm38514,0.536932378,0.139723097,0.227178313
Slc43a3,0.536731043,8.50E-08,3.76E-07
Tmem253,0.536387517,0.121416292,0.202175027
Gm38137,0.536369968,0.106276374,
Asic2,0.536369968,0.106276374,
Gm32740,0.536369968,0.106276374,
Spdef,0.536369968,0.106276374,
LOC118568733,0.536167521,0.191485448,0.294739202
Abca16,0.535949029,0.104734168,0.178249854
Tnmd,0.535820322,6.31E-11,3.61E-10
2700069I18Rik,0.535731533,0.053333529,0.100386086
Cygb,0.535695315,0.027562628,0.056177557
Supt20,0.535671767,8.07E-18,6.88E-17
Hspa1b,0.535575901,0.001147553,0.003069119
