Gene,log2FoldChange,pvalue,padj
Arhgef12,-0.068051389,0.257255806,0.374158529
Crppa,-0.068169513,0.743745111,0.82410604
H2-DMa,-0.068318695,0.657854951,0.758412904
Gm2093,-0.06831918,0.877016461,0.919458901
Sp7,-0.06832536,0.867957369,0.913365568
Cisd2,-0.06844731,0.349436775,0.475940796
Phkg2,-0.068605274,0.568263825,0.683286071
Tnc,-0.068654714,0.060093945,0.111142478
Hbs1l,-0.068670716,0.263492584,0.380861879
Zfp995,-0.068698281,0.66282905,0.762341318
Rabgap1,-0.068698535,0.198390872,0.3030705
Kctd20,-0.068743499,0.145077809,0.23456046
Pex3,-0.068764681,0.441924539,0.568576705
Gm51774,-0.068819839,0.875627616,0.918602912
Mindy1,-0.068849685,0.365729928,0.492662285
Taf12,-0.068956206,0.381427778,0.507719767
Cflar,-0.069054599,0.228759703,0.340470103
Zfp389,-0.069094936,0.876502755,0.919170518
Tatdn3,-0.069212569,0.678221303,0.774816946
Zfp523,-0.069236304,0.34623009,0.472642848
Meis2,-0.069281104,0.221637913,0.331922595
Ddx39b,-0.069353021,0.154665117,0.24758503
Ints8,-0.06937975,0.297025683,0.419047515
LOC118567474,-0.069434622,0.862984426,0.909428597
Nfya,-0.069532288,0.284487148,0.405486825
Gm38955,-0.069547733,0.873852991,0.917454752
Vps39,-0.069551593,0.227654232,0.339165533
Fam107b,-0.069581109,0.322514253,0.447538404
Prkab1,-0.069588177,0.340307517,0.466143845
Nxpe2,-0.069648307,0.862219384,0.908992945
P4hb,-0.069673648,0.019163474,0.040557783
Gm46653,-0.069834914,0.856805168,0.905065237
Fam122a,-0.0698744,0.487755416,0.61168728
Gm52783,-0.070005024,0.873748515,0.917454752
Sel1l,-0.070005736,0.110785554,0.186815427
Gm3604,-0.070006449,0.803456893,0.867937341
Eif2d,-0.070012271,0.277180559,0.397011779
Gm20554,-0.070079973,0.809910605,
Dnah8,-0.070085769,0.854430889,0.903076409
Ptp4a1,-0.07020124,0.602628426,0.712688627
Inafm2,-0.070315123,0.430278174,0.556716651
AV051173,-0.070316356,0.874492908,0.917830274
Samd15,-0.070453218,0.850860911,0.900810414
Znrf3,-0.070561624,0.58062292,0.694202683
Arf4,-0.070655835,0.050302271,0.095333586
Ppcdc,-0.070665296,0.468998479,0.593638527
Gm10000,-0.070825632,0.873696859,0.917454752
Snapc1,-0.070847407,0.521311472,0.641652562
Ube2f,-0.070947919,0.372347639,0.499028754
Gm16938,-0.070949804,0.83097662,0.887143807
Arf5,-0.070979845,0.289166284,0.410334031
Slc35f5,-0.071099343,0.202882384,0.308678642
Zfp612,-0.071137444,0.609539608,0.718868543
Mfn2,-0.071213075,0.121561048,0.20238107
Mm2pr,-0.071232047,0.864647064,0.910753161
Olfml3,-0.07123681,0.105076396,0.178690182
LOC118568637,-0.071278096,0.852092635,0.901715945
Csnk1g3,-0.071366408,0.286745959,0.408011852
Hnrnpul1,-0.071395653,0.111651265,0.187978994
Gm3993,-0.071488532,0.831275994,
Mettl9,-0.071610271,0.163655831,0.259240635
Rab39b,-0.071633657,0.557144613,0.67349034
Ddx50,-0.0716454,0.172270429,0.270387253
Stt3b,-0.071653403,0.055216951,0.103365403
Gm19412,-0.071657825,0.792391534,0.861023566
Pex7,-0.071681339,0.570669598,0.685536788
Gm51534,-0.071686593,0.717136242,0.804296464
Med28,-0.071761858,0.286970836,0.408211193
Ist1,-0.071767243,0.269450318,0.387669481
Cltc,-0.071894887,0.083184652,0.146547129
Gm16599,-0.071959301,0.852965535,0.901961993
Gm35620,-0.072022829,0.807155395,
Gm5459,-0.072022829,0.807155395,
Slc51a,-0.072022829,0.807155395,
Gm36629,-0.072039295,0.868752433,0.914079059
Zc3h7b,-0.072088602,0.088900403,0.155070452
Alg5,-0.072159825,0.24895236,0.364412367
Lrch1,-0.072181969,0.445147469,0.571768381
Gm10548,-0.072244294,0.84840431,0.898906233
A630023A22Rik,-0.072249248,0.831453815,0.887341739
Ifi30,-0.072345503,0.204192162,0.310461789
Pex19,-0.072357059,0.16979186,0.267158613
Armc4,-0.072378425,0.854483453,0.903076409
Gm6787,-0.072411997,0.870555127,0.915175829
LOC118568635,-0.072555199,0.828705874,
Neu3,-0.07289415,0.69996953,0.791926726
Zfpm2,-0.072955937,0.447581623,0.574167354
Rubcnl,-0.073087465,0.844790251,0.896432837
Atp6v0e,-0.07312172,0.251274604,0.367141917
LOC118568090,-0.073161058,0.84978091,0.899968686
LOC102636360,-0.073209977,0.829352508,0.88603206
Dlg5,-0.073265565,0.111038765,0.187166877
Glra4,-0.073419169,0.820808491,
Coasy,-0.073440704,0.336935947,0.462512431
Adam1a,-0.073449187,0.800814347,0.86645413
Eps15l1,-0.073488857,0.180538874,0.280584101
Simc1,-0.073492082,0.436290545,0.56294517
Gm31195,-0.073627766,0.808883531,
Zpld1,-0.073627766,0.808883531,
Gm6285,-0.073627766,0.808883531,
1700030K09Rik,-0.07363506,0.565827994,0.68129779
Ddx17,-0.073706811,0.05846238,0.108596351
Slc36a1,-0.073713091,0.341731812,0.467695064
Dnaja1,-0.073803705,0.288173003,0.409467601
Gm41744,-0.073826312,0.794171787,
Cage1,-0.073862742,0.764997781,0.840066841
Ap5m1,-0.073960304,0.430426055,0.556833169
Clta,-0.074010743,0.116664682,0.195292927
Arf1,-0.07402513,0.090070495,0.156756521
Kifc3,-0.074038535,0.374022446,0.500855117
Tnfsf13b,-0.074071813,0.863543708,0.909741714
LOC118568708,-0.074099102,0.801997128,
Nsun4,-0.074108458,0.538738167,0.657013574
Lin7c,-0.074115181,0.267394048,0.3853418
Hnrnpr,-0.07413157,0.257605682,0.374564768
Smim12,-0.074165187,0.445802546,0.572380749
Gm47843,-0.074209199,0.867165013,0.912757883
Rmnd1,-0.074320654,0.714586725,0.802321794
Iws1,-0.074456929,0.290298536,0.411607119
Cox6a2,-0.07463531,0.802822631,0.867682111
Dctn1,-0.07473221,0.120846961,0.201348873
Nutm1,-0.074769237,0.805802551,
Gm7030,-0.074769237,0.805802551,
Vipr2,-0.074798771,0.721409362,0.807458916
Slc19a2,-0.074839763,0.268741187,0.386793701
Luc7l2,-0.074990329,0.126267884,0.208809306
Tent5c,-0.075052195,0.75257969,0.830645439
Plekha4,-0.07507552,0.50316773,0.625436125
Ppp2r5d,-0.075093153,0.148719754,0.239601284
Tyw3,-0.075108824,0.683001744,0.77866161
Fkbp15,-0.075129879,0.188732125,0.291044213
8030453O22Rik,-0.075200069,0.798268076,
Gm38944,-0.075200069,0.798268076,
Gm34770,-0.075200069,0.798268076,
Mir423,-0.075200069,0.798268076,
Fam219a,-0.075317829,0.430633303,0.556989038
Timm10b,-0.075372113,0.431958308,0.558327856
Ccdc84,-0.075418739,0.644257303,0.747680109
Hmces,-0.075540578,0.460649774,0.586093971
Cyb5r4,-0.075600852,0.46948304,0.593876772
Unkl,-0.075600873,0.608076562,0.717670456
Aim2,-0.075633558,0.794046064,0.862085413
Trim7,-0.075642276,0.477454741,0.601432459
Msantd3,-0.075775118,0.377519473,0.503891298
Mogat2,-0.075855345,0.728894068,0.812888463
Lancl1,-0.075882699,0.254097953,0.370508212
Gm35338,-0.07592609,0.852698507,0.901961993
Myl2,-0.075974224,0.845187584,0.896731361
P4htm,-0.07607219,0.632203633,0.737245521
Suds3,-0.076138006,0.17414555,0.272605799
Rasgrp3,-0.076151152,0.550211248,0.666951059
Ube2cbp,-0.076187446,0.810476586,0.872594397
Ric8b,-0.076208761,0.411424119,0.53887494
Ptar1,-0.076229686,0.325454845,0.450738157
Rhno1,-0.076231874,0.332476537,0.457925025
Mier2,-0.076245756,0.351968498,0.478576765
Polm,-0.076302567,0.479947691,0.604027519
Emc8,-0.076356057,0.289840569,0.411109112
4930448K20Rik,-0.076421116,0.801332249,
Gm38427,-0.076421116,0.801332249,
Gm6109,-0.076421116,0.801332249,
Brd2,-0.076500479,0.03760775,0.073876749
Gnb1,-0.07652254,0.018662442,0.039601143
Gm6988,-0.076526474,0.843687606,0.895732062
4930480K23Rik,-0.076576164,0.83942127,0.892527748
Gm51938,-0.076635542,0.863097187,0.909428597
Mrps35,-0.076707468,0.476221532,0.600232362
Bcap29,-0.07676379,0.361647324,0.488246274
Sprr2h,-0.076815652,0.785435679,
Gm52347,-0.076815652,0.785435679,
Actr10,-0.076837037,0.145038317,0.234533413
Best1,-0.076907822,0.862792372,0.909348126
Cplane1,-0.076917836,0.353463886,0.480067771
Gm10209,-0.077023216,0.842031949,0.894812852
4930479D17Rik,-0.077276677,0.793127093,
Ttc9b,-0.077276677,0.793127093,
2810404M03Rik,-0.077276677,0.793127093,
Adss,-0.07732529,0.147784239,0.23825353
Gm17171,-0.077394541,0.792117385,
Gm12371,-0.077394541,0.792117385,
A730085K08Rik,-0.077394541,0.792117385,
Cc2d1a,-0.077503112,0.177317975,0.276515538
Gm6634,-0.077723772,0.742347205,0.823077997
Nlgn3,-0.077747832,0.836043803,0.89045729
Map3k12,-0.077824325,0.304267204,0.427167378
Gna12,-0.077830239,0.19301704,0.29664491
Max,-0.077847863,0.156803318,0.250364535
Tpgs2,-0.077984335,0.41888875,0.545719977
Arid2,-0.078089008,0.175645522,0.274329504
Khsrp,-0.07809858,0.11884252,0.198541646
Spindoc,-0.07816479,0.328943635,0.454132601
Ccnb1-ps,-0.078214958,0.843844758,0.895750769
Gm52611,-0.078226158,0.860152749,0.907509685
Dgkq,-0.078228553,0.393524398,0.520206354
Megf9,-0.078319384,0.423387327,0.550129302
Dnajc16,-0.078411907,0.35710444,0.483826537
LOC118567769,-0.078432878,0.859179832,0.906880652
Ctso,-0.078656292,0.373530458,0.50033545
Tmem160,-0.078695858,0.427084734,0.553576688
1700007L15Rik,-0.07870383,0.845324733,0.896827469
Gpr108,-0.078718788,0.172194534,0.270342752
2300009A05Rik,-0.078720674,0.744492537,0.824676604
Pld1,-0.078811329,0.337797173,0.463331369
Upf1,-0.078849318,0.139238727,0.226515863
Gm37336,-0.078877554,0.779398674,
1700010K23Rik,-0.078877554,0.779398674,
Ing3,-0.079080843,0.487550767,0.611589932
Napsa,-0.079114681,0.846847942,0.897849959
Gm41338,-0.079114681,0.846847942,0.897849959
Apeh,-0.079216457,0.187304417,0.289231539
Gm40105,-0.079334118,0.825920392,0.884049335
Zfp985,-0.079353333,0.836083866,0.89045729
Twsg1,-0.079354399,0.059544017,0.110313789
Gdpd3,-0.079363263,0.854703031,0.903145269
Trappc4,-0.079382612,0.270585302,0.388953749
Tmem185b,-0.079385181,0.416553352,0.543486281
Tspan2,-0.079401513,0.424639364,0.551272634
Timm8b,-0.079407989,0.359419312,0.486099476
Cdk3,-0.079408197,0.85858403,0.906400802
Gm31305,-0.079441899,0.814172106,
Ell3,-0.079486991,0.812764913,0.874227281
Wdr13,-0.079567236,0.208294069,0.315645249
Cap1,-0.079638893,0.041343551,0.080264462
Smdt1,-0.079731458,0.320349541,0.445324192
Spsb4,-0.079758073,0.750707448,0.829149208
Son,-0.07981562,0.132142615,0.217089024
4933424G05Rik,-0.079823754,0.806087676,
Zdhhc8,-0.079834165,0.124004229,0.205772657
Hps4,-0.079937135,0.376174397,0.502847887
Gm34006,-0.07999787,0.852853787,0.901961993
Man1a,-0.080010475,0.105500123,0.179236668
Rap2a,-0.080065922,0.160663738,0.255277859
Tra2a,-0.080089891,0.131449383,0.216097624
Lrrk2,-0.080113976,0.237029819,0.35055731
Phc1,-0.080115029,0.33193644,0.457377398
LOC118567487,-0.080157417,0.852936696,0.901961993
Tmem26,-0.080210409,0.514484284,0.635850146
Pcdh9,-0.080233862,0.288627609,0.409932089
Fetub,-0.080310057,0.820424323,0.880351685
Dync1i2,-0.080381615,0.054755751,0.102621741
Tmem123,-0.080438109,0.102999603,0.175748148
Polr1c,-0.080513551,0.258095389,0.375059163
Igsf1,-0.080605755,0.852801721,0.901961993
Ppil2,-0.080757222,0.140258338,0.227971587
Gm32834,-0.080805849,0.831038031,0.887143807
Ogdhl,-0.080837456,0.2589764,0.376027329
Paqr8,-0.080850612,0.48965081,0.613305472
B230319C09Rik,-0.080991655,0.850519147,0.900552436
Itfg2,-0.081082074,0.485981961,0.609939823
Gm39667,-0.081097385,0.827561868,0.885051866
LOC118568624,-0.081097385,0.827561868,0.885051866
Tcf21,-0.081123119,0.848615475,0.899080506
Tuba8,-0.081152235,0.839446331,0.892527748
Ap3m2,-0.081154471,0.261742502,0.379072602
Mogat1,-0.081204961,0.791123631,
Gm52523,-0.081204961,0.791123631,
Atp5a1,-0.081235486,0.018586356,0.039457079
Sh2b3,-0.081310017,0.259986926,0.377153376
Gga1,-0.081381178,0.186377077,0.288007392
Tspan14,-0.081407932,0.346952033,0.473455811
Gm51873,-0.081408453,0.838065799,0.891532767
Alg3,-0.081439476,0.384868704,0.511432166
Ufsp2,-0.081448267,0.156491189,0.250048821
Stx12,-0.081467468,0.121209697,0.201865925
Gm31204,-0.08150512,0.852654847,0.901961993
Mroh7,-0.081635381,0.848747852,0.899087132
Gjc3,-0.08165441,0.832260232,0.88800553
Cox7a2,-0.081681815,0.246798408,0.362085057
Phf2,-0.081721338,0.104817408,0.178345761
Zfx,-0.081726289,0.290439784,0.411746765
Sdhaf2,-0.081777758,0.189936295,0.292591834
Hadha,-0.081934079,0.070761802,0.12757925
Tc2n,-0.082029714,0.84562812,0.896852908
Gm41970,-0.082058691,0.807931877,
Atf6b,-0.082097181,0.157656814,0.251516947
4933431K23Rik,-0.082119063,0.853631748,0.902563856
Trim65,-0.082249996,0.662867631,0.762341318
Rab10os,-0.082313057,0.61863536,0.726658843
4921509O07Rik,-0.0823516,0.788060561,
Vash2,-0.082505317,0.368285473,0.494964655
Asap1,-0.082564234,0.06274968,0.115160671
Gm13383,-0.082565892,0.729939019,
Nrsn2,-0.082565892,0.729939019,
Lkaaear1,-0.082565892,0.729939019,
Gm30294,-0.082565892,0.729939019,
Gm33024,-0.082565892,0.729939019,
Gm36897,-0.082565892,0.729939019,
Gm51448,-0.082565892,0.729939019,
Mir7061,-0.082565892,0.729939019,
LOC118567832,-0.082565892,0.729939019,
LOC118567939,-0.082565892,0.729939019,
Gm31042,-0.082565892,0.729939019,
Mir378b,-0.082565892,0.729939019,
Gm35725,-0.082565892,0.729939019,
Ttc23l,-0.082565892,0.729939019,
4930405O22Rik,-0.082565892,0.729939019,
Snord53,-0.082634661,0.806221484,
Wdr7,-0.082646824,0.192349366,0.295859471
Hmgcl,-0.082774608,0.336657063,0.462294358
Dnajc14,-0.082854667,0.082584099,0.14558235
Pank2,-0.082856858,0.21408582,0.322468232
Antkmt,-0.083004339,0.448054078,0.574582068
Aak1,-0.083024467,0.116876819,0.195614032
Vrk2,-0.083092734,0.509983871,0.631950803
Tspan12,-0.083154225,0.610969247,0.720149169
Gm32569,-0.083214896,0.737237754,
Gm13110,-0.083214896,0.737237754,
Gm40722,-0.083214896,0.737237754,
Gm51909,-0.083214896,0.737237754,
Cacng1,-0.083214896,0.737237754,
Cd300ld4,-0.083214896,0.737237754,
Gm16984,-0.083214896,0.737237754,
Eya2,-0.083230147,0.712462186,0.800870206
BC107364,-0.083268992,0.736599313,
Rrh,-0.083268992,0.736599313,
Gm31113,-0.083268992,0.736599313,
Gm51576,-0.083268992,0.736599313,
LOC118567600,-0.083268992,0.736599313,
Gip,-0.083268992,0.736599313,
Gm39426,-0.083268992,0.736599313,
A330102I10Rik,-0.083268992,0.736599313,
LOC118568057,-0.083268992,0.736599313,
Gm41112,-0.083268992,0.736599313,
Gm33596,-0.083268992,0.736599313,
4930481A15Rik,-0.083268992,0.736599313,
Grid2ip,-0.083280915,0.845923193,0.897055909
Gpc3,-0.083328035,0.032967795,0.065904792
Gm32275,-0.083372617,0.848035197,0.898712918
Gtf2e1,-0.08339955,0.2707675,0.389157558
Pnmal1,-0.083450435,0.785778138,
Suclg1,-0.083458188,0.173626743,0.27201476
Sgf29,-0.083473614,0.547895551,0.664772143
Neo1,-0.083583227,0.044085787,0.084896328
Dlg4,-0.083607029,0.145079402,0.23456046
Sec14l1,-0.083612441,0.057668481,0.10730795
LOC118568609,-0.083707714,0.736410889,
LOC118567471,-0.083707714,0.736410889,
Gm6158,-0.083707714,0.736410889,
Gm52133,-0.083707714,0.736410889,
Gm23747,-0.083707714,0.736410889,
Gm24718,-0.083707714,0.736410889,
Zbtb7b,-0.083757505,0.107063168,0.181459962
Dus3l,-0.083790168,0.242813721,0.357382457
Kdm3b,-0.083867502,0.108484821,0.183465856
Usp42,-0.083877084,0.279144182,0.39908231
Gm32199,-0.083996341,0.724595292,
Sohlh1,-0.083996341,0.724595292,
Dmrta2os,-0.083996341,0.724595292,
Gm30799,-0.083996341,0.724595292,
Gm31839,-0.083996341,0.724595292,
LOC118568136,-0.083996341,0.724595292,
Gm14170,-0.08401095,0.783616924,
Gm9199,-0.08401095,0.783616924,
Arhgef40,-0.084418264,0.05603651,0.104757052
Ss18l2,-0.084425246,0.525077719,0.644681358
Cul3,-0.084449418,0.071183636,0.128255743
Dlx5,-0.084449876,0.712995023,0.801071772
Stk39,-0.084490054,0.268115127,0.386065737
Ndufa7,-0.084542472,0.254264638,0.370667069
Npw,-0.084555994,0.818846228,0.879099142
Gps2,-0.084592154,0.327063597,0.452248551
Gm34568,-0.084597299,0.782721298,
Icam2,-0.084597299,0.782721298,
5830428M24Rik,-0.084597299,0.782721298,
Gm34773,-0.084597299,0.782721298,
Gm52440,-0.084597299,0.782721298,
Gm33763,-0.084622615,0.828438456,0.885555335
Pabpn1,-0.084729108,0.671506063,0.769473153
Tmem39a,-0.084730501,0.171136663,0.268901118
Mrpl48,-0.084798112,0.488229402,0.612122261
1700063H06Rik,-0.084832365,0.774083015,
Gm39604,-0.084832365,0.774083015,
Gm52628,-0.084851457,0.836747241,0.89068502
Drg1,-0.084881788,0.137339973,0.224022236
Atxn7,-0.084913769,0.341733263,0.467695064
Mettl21e,-0.084942077,0.721040982,
Gm22360,-0.084942077,0.721040982,
Gm29010,-0.084942077,0.721040982,
Gm46819,-0.084942077,0.721040982,
Gm34180,-0.084942077,0.721040982,
A730035I17Rik,-0.084942077,0.721040982,
Reg3b,-0.084942077,0.721040982,
Gm33122,-0.084942077,0.721040982,
Gm31786,-0.084942077,0.721040982,
Gm36799,-0.084942077,0.721040982,
Gm29387,-0.084942077,0.721040982,
4930519F09Rik,-0.084942077,0.721040982,
Gm30073,-0.084942077,0.721040982,
Gm10754,-0.084942077,0.721040982,
Gm39422,-0.084942077,0.721040982,
Gm41259,-0.084942077,0.721040982,
LOC118568253,-0.084942077,0.721040982,
1700018L02Rik,-0.084942077,0.721040982,
Rnf138rt1,-0.084942077,0.721040982,
Gm31633,-0.084951319,0.808019124,
Pemt,-0.08497136,0.696333108,0.789002725
Pan3,-0.085166392,0.291458566,0.41299594
Lgmn,-0.085264741,0.040912078,0.079508145
Rxfp4,-0.085293544,0.733763686,
Gm38712,-0.085293544,0.733763686,
Gm52794,-0.085293544,0.733763686,
Mir7081,-0.085293544,0.733763686,
Gm26180,-0.085293544,0.733763686,
n-TWcca7,-0.085293544,0.733763686,
4930526H09Rik,-0.085293544,0.733763686,
Gm5396,-0.085293544,0.733763686,
Npvf,-0.085328212,0.733213763,
E130304I02Rik,-0.085328212,0.733213763,
Gm51452,-0.085328212,0.733213763,
A830009L08Rik,-0.085328212,0.733213763,
Gm41401,-0.085328212,0.733213763,
Gm36712,-0.085328212,0.733213763,
Gm51546,-0.08544507,0.806883579,
Gm32164,-0.085492649,0.843785359,0.895750769
LOC115487412,-0.085500538,0.662817757,0.762341318
Cd160,-0.08564479,0.822135843,0.881598786
Apba3,-0.085648066,0.232792315,0.345510727
D5Ertd579e,-0.085653444,0.152885668,0.245246133
Tm9sf3,-0.085714369,0.014223027,0.031000596
Gm4925,-0.085758424,0.843808291,0.895750769
Prok1,-0.085764949,0.732980713,
Gm4657,-0.085764949,0.732980713,
1700016J18Rik,-0.085764949,0.732980713,
Gm8624,-0.085764949,0.732980713,
Gm2423,-0.085764949,0.732980713,
Gm24873,-0.085764949,0.732980713,
Mir1943,-0.085764949,0.732980713,
Fam243,-0.085764949,0.732980713,
Gm41622,-0.085764949,0.732980713,
Fmr1nb,-0.085764949,0.732980713,
Gna13,-0.08590985,0.137274787,0.223955141
Wfs1,-0.085971506,0.143704553,0.23270882
Gt(ROSA)26Sor,-0.086043433,0.622867083,0.730021519
Micos13,-0.08609522,0.257434521,0.374381292
Tnfrsf1a,-0.086107753,0.023187772,0.048137684
Tmem39b,-0.08616943,0.565336269,0.680913772
Rsf1,-0.086202849,0.241902699,0.356179124
Trim32,-0.086236401,0.175277053,0.273931735
Tspan1,-0.086256954,0.778286867,
Gm34863,-0.086256954,0.778286867,
Gm39147,-0.086256954,0.778286867,
Wdr20,-0.086281827,0.416184062,0.543119377
Rps6ka3,-0.086285064,0.158494318,0.25251837
Taok2,-0.086304455,0.064040322,0.117160877
Aarsd1,-0.086325246,0.354959791,0.481522197
LOC118567437,-0.08637756,0.826900118,0.884589756
Gm128,-0.08645642,0.83753332,0.891064756
Ywhag,-0.086493743,0.017759647,0.037906798
Rhod,-0.086555844,0.291853109,0.413476462
Hexim2,-0.086661841,0.662646508,0.76222576
Mospd2,-0.086688172,0.198053289,0.30265082
C330007P06Rik,-0.086727186,0.194868816,0.298923021
Gm16998,-0.086795616,0.82408777,0.882973059
1810020O05Rik,-0.086816659,0.841627771,0.894482051
6720483E21Rik,-0.086996456,0.831449786,0.887341739
Fahd1,-0.087031313,0.593477566,0.70528751
Zdhhc3,-0.087118413,0.079671884,0.141198197
Ncoa4,-0.087196266,0.56797044,0.68306892
Cebpb,-0.08726543,0.414428209,0.541741184
LOC118568007,-0.087279646,0.802292676,0.867371429
Fpgs,-0.087340021,0.296351348,0.418198419
Optc,-0.087471226,0.71353561,0.801468699
Vti1b,-0.087554805,0.137291009,0.223961337
Zfat,-0.087581273,0.517771132,0.638478309
Coro1b,-0.087756984,0.081566745,0.144013012
Tasor2,-0.087766161,0.199147398,0.303985079
Eif3k,-0.087784761,0.101731542,0.173908021
Mdga1,-0.087792216,0.398873748,0.526014073
LOC115489436,-0.087830245,0.793898561,
Trpc5os,-0.087830245,0.793898561,
Zfp747,-0.087844213,0.594343131,0.706048258
LOC118568583,-0.087869221,0.82862553,0.885599283
Gm13067,-0.087917362,0.794126468,0.862103124
Psrc1,-0.088005506,0.088037985,0.153733207
Gm46599,-0.088101953,0.835392653,0.890114916
Atf4,-0.088178172,0.012736576,0.028059222
Gm35562,-0.088252568,0.718286252,
Gm51746,-0.088252568,0.718286252,
Gm36297,-0.088252568,0.718286252,
Gm40085,-0.088252568,0.718286252,
Prss2,-0.088252568,0.718286252,
Sox1ot,-0.088252568,0.718286252,
G630064G18Rik,-0.088252568,0.718286252,
Ces4a,-0.088252568,0.718286252,
Gm51550,-0.088252568,0.718286252,
Gm7607,-0.088252568,0.718286252,
Gm35025,-0.088252568,0.718286252,
Krt78,-0.088252568,0.718286252,
Gm26510,-0.088252568,0.718286252,
Gm44504,-0.088252568,0.718286252,
Gm30427,-0.088252568,0.718286252,
LOC118568701,-0.08830996,0.824883463,0.883546247
Gm40716,-0.088350124,0.794392035,
Ccnyl1,-0.088372245,0.301809297,0.424394339
Ssr3,-0.0883772,0.01917794,0.040578768
Neil1,-0.088382168,0.5459492,0.662911269
Zfp24,-0.088426498,0.239784765,0.35370824
Gm39318,-0.088693702,0.812665333,0.874191255
Doc2g,-0.088802532,0.744539083,0.824676604
Map2k1,-0.088818689,0.094463161,0.16313361
Fzd7,-0.088950139,0.069319732,0.125366581
Slc39a11,-0.088997549,0.196457538,0.30080901
Gm46815,-0.089110146,0.714741122,
Gm12502,-0.089110146,0.714741122,
Gm33959,-0.089110146,0.714741122,
Scgb1b30,-0.089110146,0.714741122,
Gm16158,-0.089110146,0.714741122,
Mylpf,-0.089110146,0.714741122,
Gm28979,-0.089110146,0.714741122,
Gm35117,-0.089110146,0.714741122,
Gm22061,-0.089110146,0.714741122,
Gm40434,-0.089110146,0.714741122,
A130010J15Rik,-0.089176594,0.547895957,0.664772143
Kdm4c,-0.08920009,0.199320149,0.304224659
Gm36102,-0.089259165,0.798123909,
Gm51708,-0.089259165,0.798123909,
Btnl9,-0.089259165,0.798123909,
4930461C15Rik,-0.089259165,0.798123909,
Kng1,-0.089265297,0.778609915,0.850939073
Itgb6,-0.089295847,0.772952913,
Gm22027,-0.089295847,0.772952913,
Grpel2,-0.089342361,0.357247572,0.483977982
Coa3,-0.089419573,0.299778697,0.42222012
Yaf2,-0.089581978,0.301781356,0.424388984
LOC118567703,-0.089589314,0.814501886,0.875704339
Gm14198,-0.08959143,0.712681151,
Gm30483,-0.08959143,0.712681151,
LOC118567629,-0.08959143,0.712681151,
Efcab13,-0.08959143,0.712681151,
Gm31355,-0.08959143,0.712681151,
Rasl10a,-0.089661344,0.828187358,0.885524114
Nckipsd,-0.089735824,0.386269706,0.51279853
Lrif1,-0.089755412,0.34491845,0.471219723
Gm11335,-0.089767597,0.83623361,0.89051828
Gm16618,-0.089944512,0.838039081,0.891532767
Wdr44,-0.090247135,0.451478745,0.57774594
Gm52494,-0.090326004,0.838590921,0.892042118
Thap7,-0.090357602,0.342319099,0.468295144
Tsen34,-0.09050163,0.195991985,0.300277966
Gm28782,-0.09060167,0.762812422,
Pole4,-0.090704773,0.363340706,0.490129485
Pip4k2b,-0.090743173,0.077324284,0.137505853
Ttc23,-0.090776237,0.199131536,0.303984959
Gm41640,-0.090845745,0.819739933,0.879715334
Lyn,-0.090849664,0.452772675,0.578826689
H3c6,-0.090969128,0.794151905,0.862103124
Slc30a5,-0.091013458,0.083227675,0.146609512
Gm32788,-0.091055345,0.83584729,0.890402288
Mrps28,-0.091058596,0.418347659,0.545264593
Zbtb20,-0.091080108,0.64220972,0.745809709
Rap1gap,-0.09116935,0.566108038,0.681502356
LOC115486415,-0.091202472,0.835195238,0.889953806
Gatd1,-0.091204399,0.287219759,0.40847477
Rnps1,-0.09120605,0.418702288,0.54559851
Bmp8b,-0.091256561,0.837040999,0.890806833
Capza2,-0.0912769,0.034754127,0.069045775
Prkcq,-0.091489389,0.825545529,0.883975389
Lman2l,-0.09151194,0.273284828,0.392307133
9030025P20Rik,-0.091521199,0.819356581,0.879499967
Ddx6,-0.091599761,0.082472683,0.145425874
Pygo2,-0.09161161,0.101223754,0.173116799
Lcat,-0.091643705,0.713429386,0.801396124
Zfp92,-0.091694048,0.801919815,0.86706567
Rp2,-0.091714297,0.256914774,0.373738321
1700019A02Rik,-0.091839025,0.622244387,
Gm39717,-0.091839025,0.622244387,
1700112H15Rik,-0.091839025,0.622244387,
Gm13269,-0.091839025,0.622244387,
Gm39856,-0.091839025,0.622244387,
H3f3c,-0.091839025,0.622244387,
LOC118568521,-0.091839025,0.622244387,
Wfdc15a,-0.091839025,0.622244387,
Gm40011,-0.091839025,0.622244387,
Gm36000,-0.091839025,0.622244387,
LOC118568630,-0.091839025,0.622244387,
Sprr2f,-0.091839025,0.622244387,
Gm26654,-0.091839025,0.622244387,
2700068H02Rik,-0.091839025,0.622244387,
Gm35779,-0.091839025,0.622244387,
Zfp600,-0.091839025,0.622244387,
Gm30151,-0.091839025,0.622244387,
Usp46os1,-0.091839025,0.622244387,
Gm52778,-0.091839025,0.622244387,
Mir7025,-0.091839025,0.622244387,
Smr2,-0.091839025,0.622244387,
Gm24623,-0.091839025,0.622244387,
Gm17660,-0.091839025,0.622244387,
Gm38737,-0.091839025,0.622244387,
1700124L16Rik,-0.091839025,0.622244387,
Gm31521,-0.091839025,0.622244387,
Gm29443,-0.091839025,0.622244387,
Nphs1,-0.091839025,0.622244387,
Prodh2,-0.091839025,0.622244387,
Klk1b21,-0.091839025,0.622244387,
Gm21123,-0.091839025,0.622244387,
