Gene,log2FoldChange,pvalue,padj
Gm52875,0.256949266,0.441296507,NA
3110021A11Rik,NA,NA,NA
Mir706,NA,NA,NA
Ninj2,0.589881586,0.17564046,NA
Gm25327,NA,NA,NA
Gm24592,NA,NA,NA
1700072O05Rik,NA,NA,NA
LOC118567450,0.062606314,0.829326413,NA
Gm38889,NA,NA,NA
Gm43915,0.140838661,0.638968636,NA
Gm4651,NA,NA,NA
LOC118567385,NA,NA,NA
Gm30842,NA,NA,NA
Gm38651,0.062606314,0.829326413,NA
Slc6a13,0.40674924,0.291662505,NA
Iqsec3,NA,NA,NA
Mug1,NA,NA,NA
Gm44173,NA,NA,NA
Mug2,NA,NA,NA
Gm10319,NA,NA,NA
Mug-ps1,NA,NA,NA
Gm46974,NA,NA,NA
LOC118567451,NA,NA,NA
Gm6637,0.062606314,0.829326413,NA
1700063H04Rik,0.133645887,0.648360396,NA
LOC115490479,NA,NA,NA
Gm10224,0.107132551,0.810889177,NA
Mir7231,NA,NA,NA
Gm5316,NA,NA,NA
Clec4a4,NA,NA,NA
Clec4b1,NA,NA,NA
Clec4b2,NA,NA,NA
Vmn2r19,NA,NA,NA
Vmn2r20,NA,NA,NA
Gm22833,NA,NA,NA
Vmn2r21,NA,NA,NA
Gm25891,NA,NA,NA
Gm22722,NA,NA,NA
Vmn2r22,NA,NA,NA
Gm25065,NA,NA,NA
Vmn2r23,NA,NA,NA
Gm22724,NA,NA,NA
Vmn2r24,NA,NA,NA
Vmn2r25,NA,NA,NA
Vmn2r26,NA,NA,NA
Vmn2r27,NA,NA,NA
Gm25311,NA,NA,NA
1700013D24Rik,NA,NA,NA
1700027F06Rik,NA,NA,NA
Gm44096,-0.006990353,0.982302867,NA
Mir141,NA,NA,NA
Mir200c,NA,NA,NA
Gm38895,0.140838661,0.638968636,NA
Gm38894,0.062606314,0.829326413,NA
Mir7045,NA,NA,NA
Gm23751,-0.074302853,0.798075179,NA
Scarna10,-0.245088011,0.449952402,NA
Mir8113,NA,NA,NA
LOC115486330,NA,NA,NA
4930417O13Rik,NA,NA,NA
Tuba3a,-0.074302853,0.798075179,NA
Gm52918,NA,NA,NA
Gm32673,0.339318722,0.367751589,NA
Gm38898,NA,NA,NA
Gm33202,NA,NA,NA
Gm24947,NA,NA,NA
Gm10415,NA,NA,NA
Gm33276,0.526462356,0.206158164,NA
Gm38899,0.299587681,0.401159385,NA
Gm33449,0.160544789,0.614390812,NA
Gm33496,NA,NA,NA
Gm20190,0.062606314,0.829326413,NA
1700018A23Rik,0.062606314,0.829326413,NA
Fgf6,0.308283741,0.477254684,NA
Gm38404,NA,NA,NA
Gm52919,0.135405395,0.646040312,NA
Prmt8,0.133645887,0.648360396,NA
Gm38900,NA,NA,NA
4921513H07Rik,NA,NA,NA
Gm40402,0.161467892,0.613277245,NA
Mir7233,NA,NA,NA
Gm46976,NA,NA,NA
Gm15870,NA,NA,NA
Gm34416,NA,NA,NA
Gm52879,NA,NA,NA
Pzp,0.127299763,0.775003965,NA
A2ml1,0.062606314,0.829326413,NA
Klrb1a,-0.074302853,0.798075179,NA
Gm44478,NA,NA,NA
Gm34617,NA,NA,NA
Klrb1,0.161467892,0.613277245,NA
Klrb1c,0.062606314,0.829326413,NA
Klrb1b,-0.074302853,0.798075179,NA
BC035044,0.309392253,0.390120607,NA
Gm34849,NA,NA,NA
Clec2i,NA,NA,NA
Mir7649,NA,NA,NA
Clec2f,0.160544789,0.614390812,NA
Klrb1f,NA,NA,NA
LOC118567454,-0.143149588,0.709425109,NA
Klrb1-ps1,NA,NA,NA
Gm26160,NA,NA,NA
Clec2m,NA,NA,NA
Clec1b,NA,NA,NA
Gm45969,NA,NA,NA
Klre1,NA,NA,NA
Klrd1,NA,NA,NA
Klrk1,NA,NA,NA
Klrc3,NA,NA,NA
Klrc2,NA,NA,NA
Klrc1,NA,NA,NA
Mir680-1,NA,NA,NA
Klri1,NA,NA,NA
Klri2,NA,NA,NA
LOC115489356,NA,NA,NA
Klrh1,NA,NA,NA
Klra17,NA,NA,NA
Klra5,NA,NA,NA
Gm23977,NA,NA,NA
Gm40404,NA,NA,NA
Klra6,0.062606314,0.829326413,NA
Gm22621,NA,NA,NA
Klra8,NA,NA,NA
Gm24712,NA,NA,NA
Klra14-ps,NA,NA,NA
Gm23552,NA,NA,NA
Klra9,NA,NA,NA
Gm52487,NA,NA,NA
Klra7,NA,NA,NA
Klra10,NA,NA,NA
Klra13-ps,NA,NA,NA
Gm24072,NA,NA,NA
Klra3,NA,NA,NA
Klra1,NA,NA,NA
Gm6590,NA,NA,NA
